年份（年）,基金当期收支（亿元）,基金累计结余（亿元）,参保职工数预测（万人）,参保离退休人员数预测（万人）,待遇调整幅度,社会平均工资（元）,无财政补贴基金当期收支（亿元）,无财政补贴基金累计结余（亿元）,基金收入（亿元）,基金支出（亿元）
2062,-206229.46249870386,-670470.0420933196,32495.6390733387,29775.39320805713,0.031,332338.93075790745,-289633.794307843,-1305300.8269916128,2009799222.1650496,4906137165.24348
2063,-218124.74908317762,-725148.3835576468,32274.07905119134,30017.033468337624,0.031,342309.0986806447,-304911.3157729552,-1381734.3592260194,2055979000.4926562,5105092158.222208
2064,-230743.28908683753,-781158.3471008211,32047.206401171818,30270.77269511212,0.031,352578.37164106406,-321072.79010862554,-1459670.646516791,2102772159.0189223,5313500060.105178
2065,-244192.37449844164,-838555.999782618,31808.329027979813,30538.126214851814,0.031,363155.722790296,-338237.9096675295,-1539173.792766912,2149711207.388697,5532090304.0639925
2066,-257526.9281372493,-897171.2339747755,31571.727284760553,30761.49380102,0.031,374050.3944740049,-355287.205834701,-1620040.0653781374,2197732512.0913215,5750604570.438332
2067,-271319.53056640393,-956970.3462659202,31330.190995853955,30976.545640102282,0.031,385271.90630822507,-372900.50838414085,-1702227.7329144063,2246346552.4960575,5975351636.337466
2068,-285603.3326113595,-1017924.4252926222,31081.79585061806,31183.68954220409,0.031,396830.06349747186,-391114.4731862031,-1785700.2270519994,2295392949.011119,6206537680.87315
2069,-300391.3213726054,-1080004.5680950491,30825.38120551395,31382.34711681163,0.031,408734.96540239605,-409942.263053848,-1870420.6314726241,2344750409.534618,6444173040.073098
2070,-315711.88228830695,-1143184.9252292875,30559.13963350486,31572.500675036827,0.031,420997.01436446793,-429414.2802552403,-1956355.1467921727,2394233548.4436765,6688376350.996079
2071,-330102.8766001422,-1207153.4419889518,30315.54668616831,31687.023327061688,0.031,433626.924795402,-447821.36056917533,-2043135.5726519716,2446403098.3690176,6924616704.060771
2072,-344858.8811100177,-1271865.3506948538,30072.1997360567,31791.647529130896,0.031,446635.7325392641,-466688.60831086047,-2130708.5257332125,2499568458.117437,7166454541.226042
2073,-360079.0352931426,-1337293.7739232718,29824.28496836245,31889.19925102462,0.031,460034.804515442,-486127.302216108,-2219040.6410600343,2553330914.483946,7414603936.645026
2074,-375815.9770038274,-1403419.3822100018,29569.940822268098,31980.899518883307,0.031,473835.84865090525,-506197.012649788,-2308107.065647012,2607502558.558627,7669472685.056507
2075,-392075.70053713146,-1470221.4938569611,29310.49452197823,32066.853747708486,0.031,488050.9241104324,-526906.5941343012,-2397881.7522206963,2662163093.784613,7931229035.1276245
2076,-407213.65995539806,-1537405.8910404607,29081.772591910216,32084.465692052436,0.031,502692.45183374535,-546342.6309204331,-2488020.42860512,2720630806.385959,8184057115.590289
2077,-422720.74173266476,-1604940.3566623435,28853.93118982637,32095.200734495345,0.031,517773.2253887577,-566247.909519882,-2578484.998245561,2780295480.519841,8442774575.718662
2078,-438627.4374044012,-1672797.1804224714,28626.965227378434,32100.240531515403,0.031,533306.4221504205,-586659.6016992691,-2669242.789037822,2841178353.293654,8707774370.286345
2079,-454924.1139263279,-1740946.6552811144,28402.450282881826,32099.606447681323,0.031,549305.6148149332,-607569.8509053158,-2760259.213561422,2903462489.710838,8979160998.763996
2080,-471631.52425879764,-1809361.7928786366,28180.951328180254,32094.22504266096,0.031,565784.7832593812,-629005.6328127435,-2851503.12900183,2967244175.0458455,9257300503.17328
2081,-487583.6096616293,-1877851.3408538105,27976.604883040083,32042.828318380296,0.031,582758.3267571627,-649594.3460741594,-2942749.885964647,3034099857.6425257,9530043318.384119
2082,-503676.5291048729,-1946361.1469416514,27784.18889748467,31982.38352873497,0.031,600241.0765598776,-670407.497573002,-3033938.347218115,3103629051.8069873,9807704027.537008
2083,-519840.65261849575,-2014830.635980017,27605.260925079558,31911.566470539103,0.031,618248.308856674,-691367.7382637233,-3125000.08996194,3176151184.7290926,10089828567.366325
2084,-536276.8028071456,-2083228.3649869137,27432.844115645516,31835.60721815371,0.031,636795.7581223742,-712703.4383703354,-3215899.5963078598,3251003002.366631,10378037386.069984
2085,-553459.4230338422,-2151582.41937741,27253.22628476377,31765.68386879182,0.031,655899.6308660455,-734953.9350525714,-3306668.8183326884,3326608415.281886,10676147765.8076
2086,-569590.3879615259,-2219701.2161986954,27096.79681234245,31651.219581227997,0.031,675576.6197920268,-756030.0737337905,-3397084.422373627,3406739602.2070713,10967040339.544977
2087,-585663.3155345756,-2287524.3982056486,26949.95222340237,31524.13881776858,0.031,695843.9183857876,-777098.8629049251,-3487076.9423389407,3489925922.1477704,11260914551.197021
2088,-602418.6019149987,-2355078.9063729187,26797.45652366757,31403.12012199598,0.031,716719.2359373613,-799013.7628361018,-3576677.3988913908,3574283602.292098,11564421230.653116
2089,-620374.3717793005,-2422444.11110101,26632.11908122718,31300.362229708768,0.031,738220.8130154822,-822378.229566028,-3665977.796068902,3658797574.1472187,11882579869.807499
2090,-639611.3024448736,-2489698.981170676,26456.214946882224,31216.841425410705,0.031,760367.4374059467,-847293.6114155422,-3755070.3770298553,3743670295.883906,12216606410.039328
2091,-657449.3452834343,-2556640.5257316763,26314.585585055196,31089.48647810646,0.031,783178.460528125,-870662.7604689703,-3843721.328461574,3835337994.4594703,12541965599.149174
2092,-676414.5103086991,-2623332.284393789,26166.755480226384,30978.623288927112,0.031,806673.8143439689,-895414.4641357246,-3932005.604500317,3928205583.761895,12882350225.11914
2093,-696392.4539181994,-2689819.651297362,26014.62477153609,30879.81354000709,0.031,830874.028774288,-921416.1896472593,-4019976.8855319833,4022528440.530928,13236690337.003521
2094,-717387.2023042516,-2756142.7067082324,25857.374184439133,30791.18197825236,0.031,855800.2496375167,-948669.7832293472,-4107682.2117458372,4118159869.182748,13604857701.476221
2095,-739600.4766290066,-2822354.2797358893,25691.27269503686,30714.91785697929,0.031,881474.2571266422,-977405.1149097021,-4195182.872154296,4214456985.061531,13988508134.158552
2096,-759943.0148366487,-2888232.760286871,25557.82898210488,30587.86114666976,0.031,907918.4848404415,-1004041.9944152659,-4282221.978653187,4318343560.4718685,14358763504.624527
2097,-781180.4691215757,-2953807.9787359578,25418.82250115076,30467.605461582596,0.031,935156.0393856547,-1031787.2371104821,-4368834.069125164,4423702216.4779,14741574587.58272
2098,-803651.5859045518,-3019133.366817024,25269.490733649243,30359.132109203463,0.031,963210.7205672244,-1061030.7850156548,-4455080.70760979,4529645038.731858,15139952888.888407
2099,-827510.2336603595,-3084268.212516554,25108.47074148571,30263.669752482656,0.031,992107.0421842412,-1091950.5062188231,-4541030.131364323,4635805088.309631,15555310150.497864
2100,-852764.0184657827,-3149265.4211370354,24936.686591255824,30179.799837401137,0.031,1021870.2534497685,-1124556.1519788702,-4626743.188239211,4742211039.80467,15987772559.593372
